Country Name,Country Code,Series Name,Series Code,Year,GDP
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,626.512929086139
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,4578.63320812155
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,6164.64469897525
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,45680.5349920165
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,5011.9844274536
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,12334.7982453893
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,4017.22991449473
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,26940.2641144313
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,62558.2438786332
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,51786.3771747905
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,7890.84028062087
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,28201.556802208
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,25464.760097715
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,1108.52251321179
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,16980.0270637458
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,8341.29014337961
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,47764.0715120833
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,6031.54840210944
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,1251.50476511083
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,2793.93130333726
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,3022.46288443562
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,5196.97008415107
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,6844.03324966349
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,12071.4044637296
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,41035.7771227892
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,7912.27484371138
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,767.371344051512
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,257.818557410131
