Country Name,Location code,Type,Year,"Total Population, as of 1 January (thousands)"
Burundi,108,Country/Area,2020.0,12441
Comoros,174,Country/Area,2020.0,794
Djibouti,262,Country/Area,2020.0,1097
Eritrea,232,Country/Area,2020.0,3262
Ethiopia,231,Country/Area,2020.0,117298
Kenya,404,Country/Area,2020.0,51708
Madagascar,450,Country/Area,2020.0,28586
Malawi,454,Country/Area,2020.0,19278
Mauritius,480,Country/Area,2020.0,1285
Mayotte,175,Country/Area,2020.0,280
Mozambique,508,Country/Area,2020.0,30324
R?nion,638,Country/Area,2020.0,857
Rwanda,646,Country/Area,2020.0,12921
Seychelles,690,Country/Area,2020.0,119
Somalia,706,Country/Area,2020.0,16332
SouthSudan,728,Country/Area,2020.0,10561
Uganda,800,Country/Area,2020.0,43737
UnitedRepublicofTanzania,834,Country/Area,2020.0,60051
Zambia,894,Country/Area,2020.0,18787
Zimbabwe,716,Country/Area,2020.0,15394
Angola,24,Country/Area,2020.0,32921
Cameroon,120,Country/Area,2020.0,25857
CentralAfricanRepublic,140,Country/Area,2020.0,4961
Chad,148,Country/Area,2020.0,16936
Congo,178,Country/Area,2020.0,5683
DemocraticRepublicoftheCongo,180,Country/Area,2020.0,94413
EquatorialGuinea,226,Country/Area,2020.0,1697
Gabon,266,Country/Area,2020.0,2295
SaoTomeandPrincipe,678,Country/Area,2020.0,215
Algeria,12,Country/Area,2020.0,43685
Egypt,818,Country/Area,2020.0,108460
Libya,434,Country/Area,2020.0,6999
Morocco,504,Country/Area,2020.0,36394
Sudan,729,Country/Area,2020.0,46174
Tunisia,788,Country/Area,2020.0,11929
WesternSahara,732,Country/Area,2020.0,545
Botswana,72,Country/Area,2020.0,2349
Eswatini,748,Country/Area,2020.0,1185
Lesotho,426,Country/Area,2020.0,2222
Namibia,516,Country/Area,2020.0,2688
SouthAfrica,710,Country/Area,2020.0,60079
Benin,204,Country/Area,2020.0,12898
BurkinaFaso,854,Country/Area,2020.0,21219
CaboVerde,132,Country/Area,2020.0,514
C?ed'Ivoire,384,Country/Area,2020.0,28558
Gambia,270,Country/Area,2020.0,2486
Ghana,288,Country/Area,2020.0,31569
Guinea,324,Country/Area,2020.0,13202
Guinea-Bissau,624,Country/Area,2020.0,1991
Liberia,430,Country/Area,2020.0,5094
Mali,466,Country/Area,2020.0,21380
Mauritania,478,Country/Area,2020.0,4533
Niger,562,Country/Area,2020.0,23328
Nigeria,566,Country/Area,2020.0,211741
SaintHelena,654,Country/Area,2020.0,5
Senegal,686,Country/Area,2020.0,16572
SierraLeone,694,Country/Area,2020.0,7821
Togo,768,Country/Area,2020.0,8566
Kazakhstan,398,Country/Area,2020.0,19350
Kyrgyzstan,417,Country/Area,2020.0,6582
Tajikistan,762,Country/Area,2020.0,9641
Turkmenistan,795,Country/Area,2020.0,6878
Uzbekistan,860,Country/Area,2020.0,33269
China,156,Country/Area,2020.0,1425436
"China,HongKongSAR",344,Country/Area,2020.0,7491
"China,MacaoSAR",446,Country/Area,2020.0,677
"China,TaiwanProvinceofChina",158,Country/Area,2020.0,23680
Dem.People'sRepublicofKorea,408,Country/Area,2020.0,26089
Japan,392,Country/Area,2020.0,126575
Mongolia,496,Country/Area,2020.0,3265
RepublicofKorea,410,Country/Area,2020.0,51826
Afghanistan,4,Country/Area,2020.0,38430
Bangladesh,50,Country/Area,2020.0,165622
Bhutan,64,Country/Area,2020.0,767
India,356,Country/Area,2020.0,1395971
Iran(IslamicRepublicof),364,Country/Area,2020.0,87482
Maldives,462,Country/Area,2020.0,495
Nepal,524,Country/Area,2020.0,28699
Pakistan,586,Country/Area,2020.0,232776
SriLanka,144,Country/Area,2020.0,22488
BruneiDarussalam,96,Country/Area,2020.0,445
Cambodia,116,Country/Area,2020.0,16591
Indonesia,360,Country/Area,2020.0,273748
LaoPeople'sDemocraticRepublic,418,Country/Area,2020.0,7292
Malaysia,458,Country/Area,2020.0,33697
Myanmar,104,Country/Area,2020.0,52825
Philippines,608,Country/Area,2020.0,111478
Singapore,702,Country/Area,2020.0,5682
Thailand,764,Country/Area,2020.0,71583
Timor-Leste,626,Country/Area,2020.0,1314
VietNam,704,Country/Area,2020.0,97620
Armenia,51,Country/Area,2020.0,2900
Azerbaijan,31,Country/Area,2020.0,10154
Bahrain,48,Country/Area,2020.0,1478
Cyprus,196,Country/Area,2020.0,1295
Georgia,268,Country/Area,2020.0,3797
Iraq,368,Country/Area,2020.0,41642
Israel,376,Country/Area,2020.0,8730
Jordan,400,Country/Area,2020.0,10763
Kuwait,414,Country/Area,2020.0,4464
Lebanon,422,Country/Area,2020.0,5696
Oman,512,Country/Area,2020.0,4571
Qatar,634,Country/Area,2020.0,2816
SaudiArabia,682,Country/Area,2020.0,30809
StateofPalestine,275,Country/Area,2020.0,5011
SyrianArabRepublic,760,Country/Area,2020.0,20751
T?kiye,792,Country/Area,2020.0,85758
UnitedArabEmirates,784,Country/Area,2020.0,9358
Yemen,887,Country/Area,2020.0,35641
Belarus,112,Country/Area,2020.0,9400
Bulgaria,100,Country/Area,2020.0,6951
Czechia,203,Country/Area,2020.0,10557
Hungary,348,Country/Area,2020.0,9769
Poland,616,Country/Area,2020.0,38219
RepublicofMoldova,498,Country/Area,2020.0,3090
Romania,642,Country/Area,2020.0,19453
RussianFederation,643,Country/Area,2020.0,146555
Slovakia,703,Country/Area,2020.0,5454
Ukraine,804,Country/Area,2020.0,44836
Denmark,208,Country/Area,2020.0,5823
Estonia,233,Country/Area,2020.0,1329
FaroeIslands,234,Country/Area,2020.0,52
Finland,246,Country/Area,2020.0,5525
Guernsey,831,Country/Area,2020.0,63
Iceland,352,Country/Area,2020.0,364
Ireland,372,Country/Area,2020.0,4963
IsleofMan,833,Country/Area,2020.0,84
Jersey,832,Country/Area,2020.0,103
Latvia,428,Country/Area,2020.0,1908
Lithuania,440,Country/Area,2020.0,2795
Norway,578,Country/Area,2020.0,5367
Sweden,752,Country/Area,2020.0,10328
UnitedKingdom,826,Country/Area,2020.0,67282
Albania,8,Country/Area,2020.0,2878
Andorra,20,Country/Area,2020.0,77
BosniaandHerzegovina,70,Country/Area,2020.0,3324
Croatia,191,Country/Area,2020.0,3970
Gibraltar,292,Country/Area,2020.0,36
Greece,300,Country/Area,2020.0,10715
HolySee,336,Country/Area,2020.0,1
Italy,380,Country/Area,2020.0,60041
Kosovo(underUNSCres.1244),412,Country/Area,2020.0,1747
Malta,470,Country/Area,2020.0,515
Montenegro,499,Country/Area,2020.0,610
NorthMacedonia,807,Country/Area,2020.0,1886
Portugal,620,Country/Area,2020.0,10362
SanMarino,674,Country/Area,2020.0,35
Serbia,688,Country/Area,2020.0,6939
Slovenia,705,Country/Area,2020.0,2091
Spain,724,Country/Area,2020.0,47637
Austria,40,Country/Area,2020.0,8902
Belgium,56,Country/Area,2020.0,11524
France,250,Country/Area,2020.0,65817
Germany,276,Country/Area,2020.0,83635
Liechtenstein,438,Country/Area,2020.0,39
Luxembourg,442,Country/Area,2020.0,626
Monaco,492,Country/Area,2020.0,38
Netherlands,528,Country/Area,2020.0,17602
Switzerland,756,Country/Area,2020.0,8608
Anguilla,660,Country/Area,2020.0,15
AntiguaandBarbuda,28,Country/Area,2020.0,92
Aruba,533,Country/Area,2020.0,107
Bahamas,44,Country/Area,2020.0,396
Barbados,52,Country/Area,2020.0,281
"Bonaire,SintEustatiusandSaba",535,Country/Area,2020.0,26
BritishVirginIslands,92,Country/Area,2020.0,37
CaymanIslands,136,Country/Area,2020.0,68
Cuba,192,Country/Area,2020.0,11189
Cura?o,531,Country/Area,2020.0,185
Dominica,212,Country/Area,2020.0,68
DominicanRepublic,214,Country/Area,2020.0,10949
Grenada,308,Country/Area,2020.0,116
Guadeloupe,312,Country/Area,2020.0,409
Haiti,332,Country/Area,2020.0,11176
Jamaica,388,Country/Area,2020.0,2825
Martinique,474,Country/Area,2020.0,358
Montserrat,500,Country/Area,2020.0,5
PuertoRico,630,Country/Area,2020.0,3287
SaintBarth?emy,652,Country/Area,2020.0,10
SaintKittsandNevis,659,Country/Area,2020.0,47
SaintLucia,662,Country/Area,2020.0,178
SaintMartin(Frenchpart),663,Country/Area,2020.0,33
SaintVincentandtheGrenadines,670,Country/Area,2020.0,104
SintMaarten(Dutchpart),534,Country/Area,2020.0,41
TrinidadandTobago,780,Country/Area,2020.0,1478
TurksandCaicosIslands,796,Country/Area,2020.0,44
UnitedStatesVirginIslands,850,Country/Area,2020.0,88
Belize,84,Country/Area,2020.0,388
CostaRica,188,Country/Area,2020.0,5019
ElSalvador,222,Country/Area,2020.0,6223
Guatemala,320,Country/Area,2020.0,17229
Honduras,340,Country/Area,2020.0,10033
Mexico,484,Country/Area,2020.0,126357
